customer_id,risk_category,intervention_type,amount_due,amount_recovered,outstanding_after,recovery_status,communication_status,intervention_date_offset_days
CUSTOMER_0001,LOW,No Intervention,3683,3683,0,Recovered,Not Sent,-1
CUSTOMER_0002,LOW,No Intervention,17291,17291,0,Recovered,Not Sent,-7
CUSTOMER_0003,AT-RISK,Email Reminder,5212,3591,1621,Partially Recovered,Not Sent,-3
CUSTOMER_0004,LOW,No Intervention,22778,22778,0,Recovered,Not Sent,-2
CUSTOMER_0005,AT-RISK,Email Reminder,4393,4393,0,Recovered,Not Sent,-6
CUSTOMER_0006,LOW,No Intervention,12712,12712,0,Recovered,Not Sent,-3
CUSTOMER_0007,HIGH,Phone Call,13705,13705,0,Recovered,Not Sent,-3
CUSTOMER_0008,LOW,No Intervention,24837,24837,0,Recovered,Not Sent,-7
CUSTOMER_0009,LOW,No Intervention,16015,16015,0,Recovered,Not Sent,-5
CUSTOMER_0010,AT-RISK,Email Reminder,4267,0,4267,Pending,Not Sent,-3
CUSTOMER_0011,CRITICAL,Manual Follow-up,6879,6879,0,Recovered,Not Sent,-10
CUSTOMER_0012,LOW,No Intervention,4984,4984,0,Recovered,Not Sent,-1
CUSTOMER_0013,LOW,No Intervention,18598,18598,0,Recovered,Not Sent,-6
CUSTOMER_0014,AT-RISK,Email Reminder,20504,0,20504,Pending,Not Sent,-3
CUSTOMER_0015,LOW,No Intervention,4800,4800,0,Recovered,Not Sent,-2
CUSTOMER_0016,CRITICAL,Manual Follow-up,11176,11176,0,Recovered,Not Sent,-9
CUSTOMER_0017,LOW,No Intervention,18782,18782,0,Recovered,Not Sent,-4
CUSTOMER_0018,LOW,No Intervention,925,925,0,Recovered,Not Sent,-3
CUSTOMER_0019,LOW,No Intervention,55331,55331,0,Recovered,Not Sent,-1
CUSTOMER_0020,LOW,No Intervention,3031,3031,0,Recovered,Not Sent,-3
CUSTOMER_0021,LOW,No Intervention,7926,7926,0,Recovered,Not Sent,-3
CUSTOMER_0022,AT-RISK,Email Reminder,1563,1563,0,Recovered,Not Sent,-6
CUSTOMER_0023,LOW,No Intervention,5080,5080,0,Recovered,Not Sent,-7
CUSTOMER_0024,AT-RISK,Email Reminder,3052,3052,0,Recovered,Not Sent,-9
CUSTOMER_0025,LOW,No Intervention,1124,1124,0,Recovered,Not Sent,-6
CUSTOMER_0026,AT-RISK,Email Reminder,5482,5482,0,Recovered,Not Sent,-1
CUSTOMER_0027,HIGH,Phone Call,11745,0,11745,Not Recovered,Not Sent,-9
CUSTOMER_0028,AT-RISK,Email Reminder,9662,3972,5690,Partially Recovered,Not Sent,-8
CUSTOMER_0029,LOW,No Intervention,11367,11367,0,Recovered,Not Sent,-3
CUSTOMER_0030,LOW,No Intervention,5575,5575,0,Recovered,Not Sent,-10
CUSTOMER_0031,LOW,No Intervention,11864,11864,0,Recovered,Not Sent,-1
CUSTOMER_0032,LOW,No Intervention,11604,11604,0,Recovered,Not Sent,-7
CUSTOMER_0033,AT-RISK,Email Reminder,7663,5193,2470,Partially Recovered,Not Sent,-5
CUSTOMER_0034,LOW,No Intervention,10016,10016,0,Recovered,Not Sent,-7
CUSTOMER_0035,AT-RISK,Email Reminder,3322,3322,0,Recovered,Not Sent,-2
CUSTOMER_0036,HIGH,Phone Call,5579,0,5579,Not Recovered,Not Sent,-4
CUSTOMER_0037,AT-RISK,Email Reminder,4792,0,4792,Pending,Not Sent,-3
CUSTOMER_0038,HIGH,Phone Call,6517,3459,3058,Partially Recovered,Not Sent,-2
CUSTOMER_0039,LOW,No Intervention,6946,6946,0,Recovered,Not Sent,-5
CUSTOMER_0040,LOW,No Intervention,7487,7487,0,Recovered,Not Sent,-3
CUSTOMER_0041,LOW,No Intervention,8385,8385,0,Recovered,Not Sent,-5
CUSTOMER_0042,AT-RISK,Email Reminder,7379,4985,2394,Partially Recovered,Not Sent,-10
CUSTOMER_0043,HIGH,Phone Call,5839,0,5839,Pending,Not Sent,-4
CUSTOMER_0044,LOW,No Intervention,7215,7215,0,Recovered,Not Sent,-4
CUSTOMER_0045,AT-RISK,Email Reminder,6704,6704,0,Recovered,Not Sent,-6
CUSTOMER_0046,LOW,No Intervention,29328,29328,0,Recovered,Not Sent,-4
CUSTOMER_0047,LOW,No Intervention,6652,6652,0,Recovered,Not Sent,-5
CUSTOMER_0048,AT-RISK,Email Reminder,30374,30374,0,Recovered,Not Sent,-4
CUSTOMER_0049,HIGH,Phone Call,6951,6951,0,Recovered,Not Sent,-2
CUSTOMER_0050,LOW,No Intervention,6703,6703,0,Recovered,Not Sent,-5
CUSTOMER_0051,LOW,No Intervention,38037,38037,0,Recovered,Not Sent,-5
CUSTOMER_0052,HIGH,Phone Call,8079,0,8079,Pending,Not Sent,-1
CUSTOMER_0053,LOW,No Intervention,8509,8509,0,Recovered,Not Sent,-2
CUSTOMER_0054,LOW,No Intervention,12665,12665,0,Recovered,Not Sent,-5
CUSTOMER_0055,HIGH,Phone Call,1077,0,1077,Not Recovered,Not Sent,-2
CUSTOMER_0056,LOW,No Intervention,4709,4709,0,Recovered,Not Sent,-3
CUSTOMER_0057,LOW,No Intervention,10936,10936,0,Recovered,Not Sent,-6
CUSTOMER_0058,HIGH,Phone Call,2421,2421,0,Recovered,Not Sent,-1
CUSTOMER_0059,LOW,No Intervention,3102,3102,0,Recovered,Not Sent,-8
